SID,entry,evaluation
SPH-344,zebra,FOUND
SPH-344,bird,FOUND
SPH-344,dog,FOUND
SPH-344,cat,FOUND
SPH-344,fish,FOUND
SPH-344,lion,FOUND
SPH-344,tiger,FOUND
SPH-344,deer,FOUND
SPH-344,hippopotamus,FOUND
SPL-436,horse,FOUND
SPL-436,wolf,FOUND
SPL-436,dog,FOUND
SPL-436,cow,FOUND
SPL-436,hyena,FOUND
SPL-436,lion,FOUND
SPL-436,tiger,FOUND
SPL-436,bear,FOUND
SPL-436,feline,FOUND
SPL-436,walrus,FOUND
SPL-436,seal,FOUND
SPL-436,polar,FOUND
SPL-436,porcupine,FOUND
SPL-436,horse,FOUND
SPL-436,bull,FOUND
SPL-436,oxen,FOUND
SPV-450,dog,FOUND
SPV-450,cat,FOUND
SPV-450,bird,FOUND
SPV-450,pig,FOUND
SPV-450,elephant,FOUND
SPV-450,african,FOUND
SPV-450,alligator,FOUND
SPV-450,snake,FOUND
SPV-450,frog,FOUND
SPV-450,fish,FOUND
SPV-450,rodents,FOUND
SPV-450,boar,FOUND
SPV-450,lion,FOUND
SPV-450,tiger,FOUND
SPV-450,wolf,FOUND
SPV-450,coyote,FOUND
SPV-450,chicken,FOUND
SPV-450,rooster,FOUND
SPV-450,bunny,FOUND
SPX-452,cat,FOUND
SPX-452,dog,FOUND
SPX-452,dolphin,FOUND
SPX-452,shark,FOUND
SPX-452,alligator,FOUND
SPX-452,crocodile,FOUND
SPX-452,bird,FOUND
SPX-452,bear,FOUND
SPX-452,coyote,FOUND
SPX-452,wolf,FOUND
SPX-452,fish,FOUND
SPX-452,water,FOUND
SPX-452,snail,FOUND
SPX-452,australian,FOUND
SPX-452,asian,FOUND
SPX-452,grizzly,FOUND
SPX-452,hyena,FOUND
SPX-452,snake,FOUND
SPX-452,frog,FOUND
SPX-452,toad,FOUND
SPX-452,lion,FOUND
SPX-452,leopard,FOUND
SRF-483,lion,FOUND
SRF-483,bear,FOUND
SRF-483,lion,FOUND
SRF-483,cat,FOUND
SRF-483,dog,FOUND
SRF-483,lizard,FOUND
SRF-483,bird,FOUND
SRF-483,falcon,FOUND
SRF-483,pelican,FOUND
SRF-483,african,FOUND
SRF-483,pig,FOUND
SRF-483,horse,FOUND
SRF-483,chicken,FOUND
SRF-483,hog,FOUND
SRF-483,feline,FOUND
SRF-483,duck,FOUND
SRR-498,dog,FOUND
SRR-498,cat,FOUND
SRR-498,horse,FOUND
SRR-498,turtle,FOUND
SRR-498,ape,FOUND
SRR-498,monkey,FOUND
SRR-498,pony,FOUND
SRR-498,tiger,FOUND
SRR-498,shark,FOUND
SRR-498,lizard,FOUND
SRR-498,reptile,FOUND
SRR-498,ant,FOUND
SRR-498,worm,FOUND
SRR-498,bird,FOUND
SRR-498,bear,FOUND
SRR-498,goat,FOUND
SRR-498,deer,FOUND
SRR-498,lion,FOUND
SSG-520,tiger,FOUND
SSG-520,bird,FOUND
SSG-520,monkey,FOUND
SSG-520,whale,FOUND
SSG-520,fish,FOUND
SSG-520,shark,FOUND
SSG-520,panther,FOUND
SSG-520,cat,FOUND
SSG-520,dog,FOUND
SSG-520,snake,FOUND
SSG-520,turtle,FOUND
SSG-520,crab,FOUND
SSG-520,water,FOUND
SSZ-539,pig,FOUND
SSZ-539,cow,FOUND
SSZ-539,horse,FOUND
SSZ-539,cat,FOUND
SSZ-539,fish,FOUND
SSZ-539,dog,FOUND
SSZ-539,monkey,FOUND
SSZ-539,alligator,FOUND
SSZ-539,monkey,FOUND
SSZ-539,hippopotamus,FOUND
SSZ-539,dolphin,FOUND
SSZ-539,shark,FOUND
SSZ-539,rainbow,FOUND
SUG-544,dog,FOUND
SUG-544,cat,FOUND
SUG-544,pig,FOUND
SUG-544,cow,FOUND
SUG-544,chicken,FOUND
SUG-544,elephant,FOUND
SUG-544,monkey,FOUND
SUG-544,fish,FOUND
SUG-544,african,FOUND
SUG-544,dolphin,FOUND
SUG-544,zebra,FOUND
SUG-544,shark,FOUND
SUG-544,turtle,FOUND
SUG-544,cow,FOUND
SUT-556,elephant,FOUND
SUT-556,african,FOUND
SUT-556,turtle,FOUND
SUT-556,zebra,FOUND
SUT-556,monkey,FOUND
SUT-556,dog,FOUND
SUT-556,cat,FOUND
SUT-556,lizard,FOUND
SUT-556,reptile,FOUND
SUT-556,bear,FOUND
SUT-556,dragon,FOUND
SUT-556,horse,FOUND
SUT-556,pig,FOUND
SUT-556,cow,FOUND
SUT-556,bird,FOUND
SUV-558,lion,FOUND
SUV-558,zebra,FOUND
SUV-558,feline,FOUND
SUV-558,leopard,FOUND
SUV-558,elephant,FOUND
SUV-558,zebra,FOUND
SUV-558,snake,FOUND
SUV-558,monkey,FOUND
SUV-558,gorilla,FOUND
SUV-558,african,FOUND
SUV-558,tiger,FOUND
SUV-558,cub,FOUND
SUV-558,ant,FOUND
SUV-558,dragon,FOUND
SUV-558,zebra,FOUND
SUV-558,horse,FOUND
SUV-558,cow,FOUND
SUV-558,sheep,FOUND
SUV-558,chicken,FOUND
SVA-563,rhinoceros,FOUND
SVA-563,primate,FOUND
SVA-563,chipmunk,FOUND
SVA-563,african,FOUND
SVA-563,gorilla,FOUND
SVA-563,dog,FOUND
SVA-563,cat,FOUND
SVA-563,pets,FOUND
SVA-563,fish,FOUND
SVA-563,frog,FOUND
SVA-563,snake,FOUND
SVA-563,caterpillar,FOUND
SVA-563,african,FOUND
SVA-563,rhinoceros,FOUND
SVA-563,buffalo,FOUND
SVA-563,horse,FOUND
SVA-563,antelope,FOUND
SVA-563,deer,FOUND
SVA-563,sheep,FOUND
SVH-570,dog,FOUND
SVH-570,cat,FOUND
SVH-570,rabbit,FOUND
SVH-570,pets,FOUND
SVH-570,rodents,FOUND
SVH-570,guinea,FOUND
SVH-570,penguin,FOUND
SVH-570,african,FOUND
SVH-570,jaguar,FOUND
SVH-570,lion,FOUND
SVH-570,feline,FOUND
SVH-570,prairie,FOUND
SVH-570,gorilla,FOUND
SVH-570,elephant,FOUND
SVH-570,tiger,FOUND
SVY-587,zebra,FOUND
SVY-587,african,FOUND
SVY-587,penguin,FOUND
SVY-587,asian,FOUND
SVY-587,alligator,FOUND
SVY-587,dog,FOUND
SVY-587,cat,FOUND
SVY-587,lizard,FOUND
SVY-587,reptile,FOUND
SVY-587,crab,FOUND
SVY-587,water,FOUND
SVY-587,jellyfish,FOUND
SVY-587,turtle,FOUND
SVY-587,bird,FOUND
SVY-587,chick,FOUND
SVY-587,hen,FOUND
SVY-587,rooster,FOUND
SVY-587,crow,FOUND
SZA-781,cat,FOUND
SZA-781,dog,FOUND
SZA-781,pig,FOUND
SZA-781,cow,FOUND
SZA-781,chicken,FOUND
SZA-781,rooster,FOUND
SZA-781,frog,FOUND
SZA-781,snake,FOUND
SZA-781,lizard,FOUND
SZA-781,reptile,FOUND
SZA-781,badger,FOUND
SZA-781,bulldog,FOUND
SZA-781,puppy,FOUND
SZA-781,kitten,FOUND
SZA-781,goose,FOUND
SZA-781,duck,FOUND
